Dataset,Number of Estimators,Max Depth,Min Samples Split,Min Samples Leaf,Max Leaf Nodes,Mean Cross Val Score,STD,"Eval [Library, Ter, Combined]"
Reduced,1,32,2,1,512,0.6799454685435379,0.03590655389307785,"[0.6909090909090909, 0.9506172839506173, 0.8010471204188482]"
Reduced,1,64,2,1,2,0.7510356644615305,0.04110219801535924,"[0.6666666666666666, 0.9382716049382716, 0.85]"
Reduced,1,64,2,1,2,0.6182465725001378,0.012675850413239655,"[0.5545454545454546, 0.8024691358024691, 0.6596858638743456]"
Reduced,1,64,2,1,4,0.755942087605679,0.04334095240402302,"[0.7948717948717948, 0.8641975308641975, 0.8416666666666667]"
Reduced,1,64,2,1,4,0.6336203228069592,0.026373073560448785,"[0.6181818181818182, 0.7777777777777778, 0.6858638743455497]"
Reduced,1,64,2,1,8,0.7708492063439654,0.04659529979012794,"[0.8205128205128205, 0.9012345679012346, 0.875]"
Reduced,1,64,2,1,8,0.6752745307265929,0.032049949198667355,"[0.6363636363636364, 0.7407407407407407, 0.680628272251309]"
Reduced,1,64,2,1,16,0.7794293732381308,0.030206584712248248,"[0.8461538461538461, 0.9259259259259259, 0.9]"
Reduced,1,64,2,1,16,0.6876200772854001,0.026011370202190576,"[0.6636363636363637, 0.9259259259259259, 0.774869109947644]"
Reduced,1,64,2,1,32,0.7980668044794207,0.01814237093432353,"[0.7948717948717948, 0.9135802469135802, 0.875]"
Reduced,1,64,2,1,32,0.6739201548447751,0.041011815291439664,"[0.6909090909090909, 0.9382716049382716, 0.7958115183246073]"
Reduced,1,64,2,1,64,0.7976577246866287,0.013186463893855358,"[0.7692307692307693, 0.9135802469135802, 0.8666666666666667]"
Reduced,1,64,2,1,64,0.682180355123044,0.03727430433582685,"[0.6727272727272727, 0.9382716049382716, 0.7853403141361257]"
Reduced,1,64,2,1,128,0.7976577246866287,0.013186463893855358,"[0.7692307692307693, 0.9135802469135802, 0.8666666666666667]"
Reduced,1,64,2,1,128,0.6799454685435379,0.03590655389307785,"[0.6909090909090909, 0.9506172839506173, 0.8010471204188482]"
Reduced,1,64,2,1,256,0.7976577246866287,0.013186463893855358,"[0.7692307692307693, 0.9135802469135802, 0.8666666666666667]"
Reduced,1,64,2,1,256,0.6799454685435379,0.03590655389307785,"[0.6909090909090909, 0.9506172839506173, 0.8010471204188482]"
Reduced,1,64,2,1,512,0.7976577246866287,0.013186463893855358,"[0.7692307692307693, 0.9135802469135802, 0.8666666666666667]"
Reduced,1,64,2,1,512,0.6799454685435379,0.03590655389307785,"[0.6909090909090909, 0.9506172839506173, 0.8010471204188482]"
Reduced,1,128,2,1,2,0.7510356644615305,0.04110219801535924,"[0.6666666666666666, 0.9382716049382716, 0.85]"
Reduced,1,128,2,1,2,0.6182465725001378,0.012675850413239655,"[0.5545454545454546, 0.8024691358024691, 0.6596858638743456]"
Reduced,1,128,2,1,4,0.755942087605679,0.04334095240402302,"[0.7948717948717948, 0.8641975308641975, 0.8416666666666667]"
Reduced,1,128,2,1,4,0.6336203228069592,0.026373073560448785,"[0.6181818181818182, 0.7777777777777778, 0.6858638743455497]"
Reduced,1,128,2,1,8,0.7708492063439654,0.04659529979012794,"[0.8205128205128205, 0.9012345679012346, 0.875]"
Reduced,1,128,2,1,8,0.6752745307265929,0.032049949198667355,"[0.6363636363636364, 0.7407407407407407, 0.680628272251309]"
Reduced,1,128,2,1,16,0.7794293732381308,0.030206584712248248,"[0.8461538461538461, 0.9259259259259259, 0.9]"
Reduced,1,128,2,1,16,0.6876200772854001,0.026011370202190576,"[0.6636363636363637, 0.9259259259259259, 0.774869109947644]"
Reduced,1,128,2,1,32,0.7980668044794207,0.01814237093432353,"[0.7948717948717948, 0.9135802469135802, 0.875]"
Reduced,1,128,2,1,32,0.6739201548447751,0.041011815291439664,"[0.6909090909090909, 0.9382716049382716, 0.7958115183246073]"
Reduced,1,128,2,1,64,0.7976577246866287,0.013186463893855358,"[0.7692307692307693, 0.9135802469135802, 0.8666666666666667]"
Reduced,1,128,2,1,64,0.682180355123044,0.03727430433582685,"[0.6727272727272727, 0.9382716049382716, 0.7853403141361257]"
Reduced,1,128,2,1,128,0.7976577246866287,0.013186463893855358,"[0.7692307692307693, 0.9135802469135802, 0.8666666666666667]"
Reduced,1,128,2,1,128,0.6799454685435379,0.03590655389307785,"[0.6909090909090909, 0.9506172839506173, 0.8010471204188482]"
Reduced,1,128,2,1,256,0.7976577246866287,0.013186463893855358,"[0.7692307692307693, 0.9135802469135802, 0.8666666666666667]"
Reduced,1,128,2,1,256,0.6799454685435379,0.03590655389307785,"[0.6909090909090909, 0.9506172839506173, 0.8010471204188482]"
Reduced,1,128,2,1,512,0.7976577246866287,0.013186463893855358,"[0.7692307692307693, 0.9135802469135802, 0.8666666666666667]"
Reduced,1,128,2,1,512,0.6799454685435379,0.03590655389307785,"[0.6909090909090909, 0.9506172839506173, 0.8010471204188482]"
Reduced,1,256,2,1,2,0.7510356644615305,0.04110219801535924,"[0.6666666666666666, 0.9382716049382716, 0.85]"
Reduced,1,256,2,1,2,0.6182465725001378,0.012675850413239655,"[0.5545454545454546, 0.8024691358024691, 0.6596858638743456]"
Reduced,1,256,2,1,4,0.755942087605679,0.04334095240402302,"[0.7948717948717948, 0.8641975308641975, 0.8416666666666667]"
Reduced,1,256,2,1,4,0.6336203228069592,0.026373073560448785,"[0.6181818181818182, 0.7777777777777778, 0.6858638743455497]"
Reduced,1,256,2,1,8,0.7708492063439654,0.04659529979012794,"[0.8205128205128205, 0.9012345679012346, 0.875]"
Reduced,1,256,2,1,8,0.6752745307265929,0.032049949198667355,"[0.6363636363636364, 0.7407407407407407, 0.680628272251309]"
