Dataset,Number of Estimators,Max Depth,Min Samples Split,Min Samples Leaf,Max Leaf Nodes,Mean Cross Val Score,STD,"Eval [Library, Ter, Combined]"
Original,2,4,2,1,32,0.693169285,0.039951638,"[0.6181818181818182, 0.9135802469135802, 0.743455497382199]"
Reduced,2,4,2,1,64,0.782252847,0.037965358,"[0.9230769230769231, 0.9012345679012346, 0.9083333333333333]"
Original,2,4,2,1,64,0.693169285,0.039951638,"[0.6181818181818182, 0.9135802469135802, 0.743455497382199]"
Reduced,2,4,2,1,128,0.782252847,0.037965358,"[0.9230769230769231, 0.9012345679012346, 0.9083333333333333]"
Original,2,4,2,1,128,0.693169285,0.039951638,"[0.6181818181818182, 0.9135802469135802, 0.743455497382199]"
Reduced,2,4,2,1,256,0.782252847,0.037965358,"[0.9230769230769231, 0.9012345679012346, 0.9083333333333333]"
Original,2,4,2,1,256,0.693169285,0.039951638,"[0.6181818181818182, 0.9135802469135802, 0.743455497382199]"
Reduced,2,4,2,1,512,0.782252847,0.037965358,"[0.9230769230769231, 0.9012345679012346, 0.9083333333333333]"
Original,2,4,2,1,512,0.693169285,0.039951638,"[0.6181818181818182, 0.9135802469135802, 0.743455497382199]"
Reduced,2,8,2,1,2,0.757651826,0.030244477,"[0.6666666666666666, 0.9382716049382716, 0.85]"
Original,2,8,2,1,2,0.646576043,0.009969579,"[0.5, 0.9506172839506173, 0.6910994764397905]"
Reduced,2,8,2,1,4,0.786615705,0.020757582,"[0.7948717948717948, 0.8641975308641975, 0.8416666666666667]"
Original,2,8,2,1,4,0.650965179,0.031412439,"[0.5909090909090909, 0.9012345679012346, 0.7225130890052356]"
Reduced,2,8,2,1,8,0.809459454,0.049996186,"[0.8974358974358975, 0.8888888888888888, 0.8916666666666667]"
Original,2,8,2,1,8,0.682026116,0.053053945,"[0.6, 0.9135802469135802, 0.7329842931937173]"
Reduced,2,8,2,1,16,0.800174713,0.039874017,"[0.7948717948717948, 0.9012345679012346, 0.8666666666666667]"
Original,2,8,2,1,16,0.687663798,0.033479457,"[0.6909090909090909, 0.9135802469135802, 0.7853403141361257]"
Reduced,2,8,2,1,32,0.808534919,0.024517371,"[0.7948717948717948, 0.8888888888888888, 0.8583333333333333]"
Original,2,8,2,1,32,0.696243185,0.032872014,"[0.6636363636363637, 0.9382716049382716, 0.7801047120418848]"
Reduced,2,8,2,1,64,0.803937218,0.026867475,"[0.7948717948717948, 0.8888888888888888, 0.8583333333333333]"
Original,2,8,2,1,64,0.708465823,0.029331785,"[0.6545454545454545, 0.9382716049382716, 0.774869109947644]"
Reduced,2,8,2,1,128,0.803937218,0.026867475,"[0.7948717948717948, 0.8888888888888888, 0.8583333333333333]"
Original,2,8,2,1,128,0.708465823,0.029331785,"[0.6545454545454545, 0.9382716049382716, 0.774869109947644]"
Reduced,2,8,2,1,256,0.803937218,0.026867475,"[0.7948717948717948, 0.8888888888888888, 0.8583333333333333]"
Original,2,8,2,1,256,0.708465823,0.029331785,"[0.6545454545454545, 0.9382716049382716, 0.774869109947644]"
Reduced,2,8,2,1,512,0.803937218,0.026867475,"[0.7948717948717948, 0.8888888888888888, 0.8583333333333333]"
