ChromatogramRI,
X:,Y:
7.30667,0.04
7.30833,0.05
7.31,0.056
7.31167,0.05
7.31333,0.044
7.315,0.039
7.31667,0.029
7.31833,0.023
7.32,0.028
7.32167,0.033
7.32333,0.047
7.325,0.046
7.32667,0.041
7.32833,0.041
7.33,0.042
7.33167,0.032
7.33333,0.028
7.335,0.018
7.33667,0.017
7.33833,0.027
7.34,0.033
7.34167,0.037
7.34333,0.038
7.345,0.034
7.34667,0.025
7.34833,0.02
7.35,0.021
7.35167,0.025
7.35333,0.036
7.355,0.046
7.35667,0.051
7.35833,0.051
7.36,0.047
7.36167,0.038
7.36333,0.034
7.365,0.03
7.36667,0.026
7.36833,0.026
7.37,0.035
7.37167,0.044
7.37333,0.048
7.375,0.048
7.37667,0.048
7.37833,0.038
7.38,0.032
7.38167,0.026
7.38333,0.031
7.385,0.035
7.38667,0.049
7.38833,0.06
7.39,0.065
7.39167,0.065
7.39333,0.064
7.395,0.054
7.39667,0.043
7.39833,0.039
7.4,0.035
7.40167,0.045
7.40333,0.05
7.405,0.057
7.40667,0.062
7.40833,0.061
7.41,0.056
7.41167,0.05
7.41333,0.045
7.415,0.035
7.41667,0.04
7.41833,0.044
7.42,0.049
7.42167,0.061
7.42333,0.061
7.425,0.061
7.42667,0.05
7.42833,0.051
7.43,0.046
7.43167,0.04
7.43333,0.045
7.435,0.055
7.43667,0.064
7.43833,0.069
7.44,0.058
7.44167,0.048
7.44333,0.039
7.445,0.038
7.44667,0.037
7.44833,0.037
7.45,0.043
7.45167,0.043
7.45333,0.054
7.455,0.054
7.45667,0.055
7.45833,0.045
7.46,0.041
7.46167,0.036
7.46333,0.032
7.465,0.027
7.46667,0.033
7.46833,0.038
7.47,0.044
7.47167,0.043
7.47333,0.043
7.475,0.043
7.47667,0.036
7.47833,0.036
7.48,0.03
7.48167,0.035
7.48333,0.04
7.485,0.044
7.48667,0.049
7.48833,0.048
7.49,0.048
7.49167,0.043
7.49333,0.044
7.495,0.039
7.49667,0.033
7.49833,0.038
7.5,0.042
7.50167,0.047
7.50333,0.052
7.505,0.062
7.50667,0.062
7.50833,0.052
7.51,0.041
7.51167,0.037
7.51333,0.042
7.515,0.047
7.51667,0.057
7.51833,0.057
7.52,0.053
7.52167,0.047
7.52333,0.042
7.525,0.038
7.52667,0.033
7.52833,0.039
7.53,0.038
7.53167,0.048
7.53333,0.054
7.535,0.054
7.53667,0.053
7.53833,0.048
7.54,0.047
7.54167,0.037
7.54333,0.031
7.545,0.025
7.54667,0.025
7.54833,0.04
7.55,0.04
7.55167,0.051
7.55333,0.05
7.555,0.055
7.55667,0.051
7.55833,0.052
7.56,0.046
7.56167,0.046
7.56333,0.056
7.565,0.06
7.56667,0.069
7.56833,0.069
7.57,0.064
7.57167,0.063
7.57333,0.058
7.575,0.052
7.57667,0.047
7.57833,0.047
7.58,0.052
7.58167,0.053
7.58333,0.059
7.585,0.064
7.58667,0.06
7.58833,0.055
7.59,0.05
7.59167,0.04
7.59333,0.041
7.595,0.047
7.59667,0.058
7.59833,0.064
7.6,0.07
7.60167,0.065
7.60333,0.061
7.605,0.056
7.60667,0.045
7.60833,0.04
7.61,0.04
7.61167,0.045
7.61333,0.057
7.615,0.057
7.61667,0.058
7.61833,0.052
7.62,0.051
7.62167,0.045
7.62333,0.041
7.625,0.035
7.62667,0.04
7.62833,0.043
7.63,0.053
7.63167,0.058
7.63333,0.058
7.635,0.058
7.63667,0.047
7.63833,0.042
7.64,0.038
7.64167,0.033
7.64333,0.038
7.645,0.048
7.64667,0.06
7.64833,0.066
7.65,0.061
7.65167,0.061
7.65333,0.056
7.655,0.045
7.65667,0.036
7.65833,0.036
7.66,0.045
7.66167,0.055
7.66333,0.064
7.665,0.064
7.66667,0.064
7.66833,0.059
7.67,0.054
7.67167,0.043
7.67333,0.038
7.675,0.044
7.67667,0.048
7.67833,0.06
7.68,0.07
7.68167,0.07
7.68333,0.065
7.685,0.06
7.68667,0.049
7.68833,0.044
7.69,0.04
7.69167,0.04
7.69333,0.05
7.695,0.055
7.69667,0.059
7.69833,0.059
7.7,0.055
7.70167,0.05
7.70333,0.041
7.705,0.041
7.70667,0.041
7.70833,0.046
7.71,0.051
7.71167,0.057
7.71333,0.061
7.715,0.066
7.71667,0.065
7.71833,0.055
7.72,0.044
7.72167,0.039
7.72333,0.04
7.725,0.05
7.72667,0.062
7.72833,0.068
7.73,0.069
7.73167,0.064
7.73333,0.059
7.735,0.054
7.73667,0.044
7.73833,0.038
7.74,0.038
7.74167,0.048
7.74333,0.06
7.745,0.06
7.74667,0.06
7.74833,0.059
7.75,0.047
7.75167,0.042
7.75333,0.042
7.755,0.043
7.75667,0.048
7.75833,0.053
7.76,0.059
7.76167,0.063
7.76333,0.063
7.765,0.064
7.76667,0.063
7.76833,0.063
7.77,0.053
7.77167,0.048
7.77333,0.053
7.775,0.063
7.77667,0.073
7.77833,0.077
7.78,0.071
7.78167,0.066
7.78333,0.061
7.785,0.055
7.78667,0.056
7.78833,0.055
7.79,0.06
7.79167,0.07
7.79333,0.07
7.795,0.07
7.79667,0.071
7.79833,0.062
7.8,0.052
7.80167,0.046
7.80333,0.046
7.805,0.051
7.80667,0.067
7.80833,0.072
7.81,0.076
7.81167,0.076
7.81333,0.075
7.815,0.066
7.81667,0.061
7.81833,0.05
7.82,0.051
7.82167,0.057
7.82333,0.058
7.825,0.069
7.82667,0.069
7.82833,0.07
7.83,0.064
7.83167,0.053
7.83333,0.048
7.835,0.048
7.83667,0.048
7.83833,0.053
7.84,0.069
7.84167,0.074
7.84333,0.074
7.845,0.068
7.84667,0.058
7.84833,0.051
7.85,0.041
7.85167,0.04
7.85333,0.05
7.855,0.056
7.85667,0.066
7.85833,0.071
7.86,0.076
7.86167,0.071
7.86333,0.065
7.865,0.059
7.86667,0.053
7.86833,0.053
7.87,0.057
7.87167,0.057
7.87333,0.061
7.875,0.071
7.87667,0.07
7.87833,0.065
7.88,0.065
7.88167,0.061
7.88333,0.051
7.885,0.056
7.88667,0.061
7.88833,0.066
7.89,0.077
7.89167,0.073
7.89333,0.069
7.895,0.064
7.89667,0.059
7.89833,0.054
7.9,0.047
7.90167,0.046
7.90333,0.046
7.905,0.057
7.90667,0.062
7.90833,0.067
7.91,0.067
7.91167,0.066
7.91333,0.061
7.915,0.056
7.91667,0.056
7.91833,0.06
7.92,0.066
7.92167,0.075
7.92333,0.074
7.925,0.074
7.92667,0.069
7.92833,0.068
7.93,0.064
7.93167,0.054
7.93333,0.055
7.935,0.06
7.93667,0.07
7.93833,0.071
7.94,0.082
7.94167,0.078
7.94333,0.069
7.945,0.063
7.94667,0.058
7.94833,0.052
7.95,0.05
7.95167,0.059
7.95333,0.068
7.955,0.078
7.95667,0.084
7.95833,0.079
7.96,0.07
7.96167,0.066
7.96333,0.057
7.965,0.053
7.96667,0.053
7.96833,0.063
7.97,0.072
7.97167,0.077
7.97333,0.077
7.975,0.071
7.97667,0.066
7.97833,0.061
7.98,0.062
7.98167,0.057
7.98333,0.062
7.985,0.068
7.98667,0.074
7.98833,0.079
7.99,0.079
7.99167,0.074
7.99333,0.069
7.995,0.064
7.99667,0.064
7.99833,0.064
8,0.068
8.00167,0.078
8.00333,0.083
8.005,0.083
8.00667,0.083
8.00833,0.078
8.01,0.073
8.01167,0.062
8.01333,0.057
8.015,0.057
8.01667,0.067
8.01833,0.071
8.02,0.077
8.02167,0.077
8.02333,0.077
8.025,0.066
8.02667,0.062
8.02833,0.062
8.03,0.063
8.03167,0.068
8.03333,0.073
8.035,0.083
8.03667,0.083
8.03833,0.078
8.04,0.072
8.04167,0.062
8.04333,0.057
8.045,0.051
8.04667,0.052
8.04833,0.056
8.05,0.066
8.05167,0.076
8.05333,0.081
8.055,0.077
8.05667,0.078
8.05833,0.068
8.06,0.058
8.06167,0.058
8.06333,0.062
8.065,0.072
8.06667,0.076
8.06833,0.076
8.07,0.076
8.07167,0.071
8.07333,0.066
8.075,0.062
8.07667,0.057
8.07833,0.057
8.08,0.066
8.08167,0.071
8.08333,0.081
8.085,0.087
8.08667,0.087
8.08833,0.081
8.09,0.071
8.09167,0.065
8.09333,0.065
8.095,0.064
8.09667,0.069
8.09833,0.073
8.1,0.078
8.10167,0.077
8.10333,0.077
8.105,0.076
8.10667,0.07
8.10833,0.066
8.11,0.061
8.11167,0.067
8.11333,0.072
8.115,0.078
8.11667,0.078
8.11833,0.079
8.12,0.079
8.12167,0.075
8.12333,0.07
8.125,0.066
8.12667,0.06
8.12833,0.065
8.13,0.074
8.13167,0.078
8.13333,0.082
8.135,0.082
8.13667,0.076
8.13833,0.071
8.14,0.061
8.14167,0.057
8.14333,0.056
8.145,0.056
8.14667,0.061
8.14833,0.071
8.15,0.077
8.15167,0.072
8.15333,0.067
8.155,0.068
8.15667,0.063
8.15833,0.059
8.16,0.06
8.16167,0.066
8.16333,0.072
8.165,0.084
8.16667,0.084
8.16833,0.084
8.17,0.079
8.17167,0.074
8.17333,0.073
8.175,0.072
8.17667,0.071
8.17833,0.076
8.18,0.081
8.18167,0.086
8.18333,0.091
8.185,0.086
8.18667,0.082
8.18833,0.076
8.19,0.071
8.19167,0.071
8.19333,0.074
8.195,0.084
8.19667,0.089
8.19833,0.09
8.2,0.085
8.20167,0.08
8.20333,0.065
8.205,0.061
8.20667,0.057
8.20833,0.058
8.21,0.073
8.21167,0.083
8.21333,0.087
8.215,0.088
8.21667,0.083
8.21833,0.083
8.22,0.074
8.22167,0.059
8.22333,0.053
8.225,0.052
8.22667,0.062
8.22833,0.072
8.23,0.077
8.23167,0.075
8.23333,0.075
8.235,0.069
8.23667,0.063
8.23833,0.062
8.24,0.062
8.24167,0.066
8.24333,0.076
8.245,0.086
8.24667,0.087
8.24833,0.088
8.25,0.083
8.25167,0.074
8.25333,0.059
8.255,0.055
8.25667,0.056
8.25833,0.061
8.26,0.071
8.26167,0.076
8.26333,0.077
8.265,0.077
8.26667,0.076
8.26833,0.076
8.27,0.07
8.27167,0.059
8.27333,0.059
8.275,0.068
8.27667,0.078
8.27833,0.078
8.28,0.079
8.28167,0.074
8.28333,0.07
8.285,0.065
8.28667,0.06
8.28833,0.06
8.29,0.065
8.29167,0.075
8.29333,0.086
8.295,0.086
8.29667,0.086
8.29833,0.086
8.3,0.085
8.30167,0.074
8.30333,0.064
8.305,0.063
8.30667,0.073
8.30833,0.078
8.31,0.078
8.31167,0.084
8.31333,0.079
8.315,0.079
8.31667,0.069
8.31833,0.063
8.32,0.054
8.32167,0.059
8.32333,0.064
8.325,0.073
8.32667,0.078
8.32833,0.082
8.33,0.072
8.33167,0.066
8.33333,0.065
8.335,0.06
8.33667,0.055
8.33833,0.065
8.34,0.074
8.34167,0.079
8.34333,0.08
8.345,0.081
8.34667,0.077
8.34833,0.074
8.35,0.069
8.35167,0.06
8.35333,0.055
8.355,0.06
8.35667,0.065
8.35833,0.069
8.36,0.074
8.36167,0.068
8.36333,0.068
8.365,0.063
8.36667,0.063
8.36833,0.058
8.37,0.058
8.37167,0.073
8.37333,0.077
8.375,0.081
8.37667,0.081
8.37833,0.081
8.38,0.076
8.38167,0.066
8.38333,0.066
8.385,0.07
8.38667,0.065
8.38833,0.07
8.39,0.08
8.39167,0.09
8.39333,0.095
8.395,0.095
8.39667,0.085
8.39833,0.081
8.4,0.076
8.40167,0.071
8.40333,0.077
8.405,0.078
8.40667,0.083
8.40833,0.088
8.41,0.087
8.41167,0.077
8.41333,0.072
8.415,0.067
8.41667,0.062
8.41833,0.067
8.42,0.067
8.42167,0.078
8.42333,0.083
8.425,0.083
8.42667,0.084
8.42833,0.079
8.43,0.08
8.43167,0.075
8.43333,0.075
8.435,0.074
8.43667,0.084
8.43833,0.093
8.44,0.103
8.44167,0.102
8.44333,0.102
8.445,0.101
8.44667,0.096
8.44833,0.086
8.45,0.086
8.45167,0.091
8.45333,0.106
8.455,0.11
8.45667,0.105
8.45833,0.106
8.46,0.106
8.46167,0.097
8.46333,0.087
8.465,0.081
8.46667,0.081
8.46833,0.086
8.47,0.097
8.47167,0.107
8.47333,0.103
8.475,0.098
8.47667,0.088
8.47833,0.079
8.48,0.074
8.48167,0.074
8.48333,0.079
8.485,0.085
8.48667,0.101
8.48833,0.112
8.49,0.112
8.49167,0.107
8.49333,0.102
8.495,0.097
8.49667,0.086
8.49833,0.08
8.5,0.08
8.50167,0.085
8.50333,0.095
8.505,0.095
8.50667,0.094
8.50833,0.094
8.51,0.089
8.51167,0.084
8.51333,0.084
8.515,0.084
8.51667,0.089
8.51833,0.093
8.52,0.102
8.52167,0.108
8.52333,0.108
8.525,0.103
8.52667,0.094
8.52833,0.088
8.53,0.084
8.53167,0.084
8.53333,0.089
8.535,0.099
8.53667,0.104
8.53833,0.104
8.54,0.103
8.54167,0.104
8.54333,0.095
8.545,0.085
8.54667,0.085
8.54833,0.09
8.55,0.09
8.55167,0.099
8.55333,0.104
8.555,0.109
8.55667,0.098
8.55833,0.093
8.56,0.087
8.56167,0.083
8.56333,0.073
8.565,0.078
8.56667,0.084
8.56833,0.089
8.57,0.084
8.57167,0.085
8.57333,0.08
8.575,0.08
8.57667,0.079
8.57833,0.074
8.58,0.069
8.58167,0.08
8.58333,0.09
8.585,0.1
8.58667,0.11
8.58833,0.115
8.59,0.111
8.59167,0.107
8.59333,0.097
8.595,0.092
8.59667,0.092
8.59833,0.101
8.6,0.111
8.60167,0.122
8.60333,0.122
8.605,0.118
8.60667,0.113
8.60833,0.108
8.61,0.097
8.61167,0.092
8.61333,0.102
8.615,0.113
8.61667,0.123
8.61833,0.124
8.62,0.129
8.62167,0.118
8.62333,0.112
8.625,0.102
8.62667,0.098
8.62833,0.098
8.63,0.097
8.63167,0.102
8.63333,0.107
8.635,0.109
8.63667,0.105
8.63833,0.099
8.64,0.101
8.64167,0.091
8.64333,0.086
8.645,0.086
8.64667,0.09
8.64833,0.098
8.65,0.107
8.65167,0.117
8.65333,0.111
8.655,0.106
8.65667,0.096
8.65833,0.086
8.66,0.086
8.66167,0.091
8.66333,0.101
8.665,0.116
8.66667,0.12
8.66833,0.116
8.67,0.112
8.67167,0.107
8.67333,0.098
8.675,0.098
8.67667,0.098
