ChromatogramRI,
X:,Y:
8.09,0.524
8.09167,0.519
8.09333,0.519
8.095,0.514
8.09667,0.514
8.09833,0.524
8.1,0.529
8.10167,0.534
8.10333,0.534
8.105,0.534
8.10667,0.524
8.10833,0.52
8.11,0.52
8.11167,0.525
8.11333,0.53
8.115,0.54
8.11667,0.545
8.11833,0.552
8.12,0.546
8.12167,0.541
8.12333,0.532
8.125,0.532
8.12667,0.532
8.12833,0.537
8.13,0.541
8.13167,0.546
8.13333,0.553
8.135,0.552
8.13667,0.545
8.13833,0.544
8.14,0.538
8.14167,0.532
8.14333,0.536
8.145,0.535
8.14667,0.54
8.14833,0.546
8.15,0.551
8.15167,0.557
8.15333,0.553
8.155,0.548
8.15667,0.542
8.15833,0.536
8.16,0.54
8.16167,0.546
8.16333,0.556
8.165,0.556
8.16667,0.555
8.16833,0.555
8.17,0.545
8.17167,0.544
8.17333,0.543
8.175,0.537
8.17667,0.543
8.17833,0.549
8.18,0.555
8.18167,0.56
8.18333,0.554
8.185,0.555
8.18667,0.551
8.18833,0.54
8.19,0.536
8.19167,0.535
8.19333,0.536
8.195,0.541
8.19667,0.548
8.19833,0.554
8.2,0.554
8.20167,0.554
8.20333,0.55
8.205,0.544
8.20667,0.546
8.20833,0.541
8.21,0.552
8.21167,0.56
8.21333,0.565
8.215,0.565
8.21667,0.565
8.21833,0.559
8.22,0.553
8.22167,0.548
8.22333,0.543
8.225,0.543
8.22667,0.55
8.22833,0.555
8.23,0.564
8.23167,0.564
8.23333,0.559
8.235,0.554
8.23667,0.55
8.23833,0.544
8.24,0.544
8.24167,0.543
8.24333,0.548
8.245,0.558
8.24667,0.563
8.24833,0.558
8.25,0.558
8.25167,0.547
8.25333,0.54
8.255,0.535
8.25667,0.545
8.25833,0.555
8.26,0.56
8.26167,0.565
8.26333,0.565
8.265,0.559
8.26667,0.559
8.26833,0.554
8.27,0.549
8.27167,0.545
8.27333,0.539
8.275,0.55
8.27667,0.56
8.27833,0.57
8.28,0.575
8.28167,0.573
8.28333,0.568
8.285,0.557
8.28667,0.557
8.28833,0.553
8.29,0.563
8.29167,0.578
8.29333,0.583
8.295,0.588
8.29667,0.588
8.29833,0.583
8.3,0.576
8.30167,0.57
8.30333,0.565
8.305,0.57
8.30667,0.575
8.30833,0.581
8.31,0.591
8.31167,0.592
8.31333,0.592
8.315,0.588
8.31667,0.583
8.31833,0.573
8.32,0.568
8.32167,0.573
8.32333,0.578
8.325,0.588
8.32667,0.594
8.32833,0.595
8.33,0.595
8.33167,0.59
8.33333,0.585
8.335,0.575
8.33667,0.57
8.33833,0.57
8.34,0.579
8.34167,0.589
8.34333,0.598
8.345,0.598
8.34667,0.598
8.34833,0.593
8.35,0.583
8.35167,0.578
8.35333,0.574
8.355,0.574
8.35667,0.581
8.35833,0.592
8.36,0.597
8.36167,0.592
8.36333,0.587
8.365,0.583
8.36667,0.578
8.36833,0.578
8.37,0.573
8.37167,0.578
8.37333,0.588
8.375,0.593
8.37667,0.598
8.37833,0.597
8.38,0.597
8.38167,0.591
8.38333,0.586
8.385,0.582
8.38667,0.582
8.38833,0.587
8.39,0.597
8.39167,0.597
8.39333,0.602
8.395,0.597
8.39667,0.597
8.39833,0.592
8.4,0.586
8.40167,0.586
8.40333,0.59
8.405,0.595
8.40667,0.605
8.40833,0.61
8.41,0.61
8.41167,0.606
8.41333,0.602
8.415,0.588
8.41667,0.578
8.41833,0.584
8.42,0.58
8.42167,0.59
8.42333,0.597
8.425,0.603
8.42667,0.603
8.42833,0.594
8.43,0.594
8.43167,0.584
8.43333,0.579
8.435,0.583
8.43667,0.592
8.43833,0.596
8.44,0.604
8.44167,0.604
8.44333,0.598
8.445,0.593
8.44667,0.593
8.44833,0.584
8.45,0.584
8.45167,0.59
8.45333,0.596
8.455,0.601
8.45667,0.611
8.45833,0.606
8.46,0.602
8.46167,0.593
8.46333,0.593
8.465,0.587
8.46667,0.582
8.46833,0.591
8.47,0.602
8.47167,0.606
8.47333,0.617
8.475,0.616
8.47667,0.615
8.47833,0.609
8.48,0.604
8.48167,0.605
8.48333,0.599
8.485,0.609
8.48667,0.619
8.48833,0.625
8.49,0.624
8.49167,0.618
8.49333,0.613
8.495,0.608
8.49667,0.603
8.49833,0.598
8.5,0.607
8.50167,0.616
8.50333,0.626
8.505,0.63
8.50667,0.63
8.50833,0.624
8.51,0.618
8.51167,0.607
8.51333,0.602
8.515,0.612
8.51667,0.617
8.51833,0.627
8.52,0.631
8.52167,0.631
8.52333,0.636
8.525,0.637
8.52667,0.632
8.52833,0.617
8.53,0.612
8.53167,0.606
8.53333,0.611
8.535,0.627
8.53667,0.632
8.53833,0.637
8.54,0.631
8.54167,0.626
8.54333,0.616
8.545,0.61
8.54667,0.605
8.54833,0.604
8.55,0.615
8.55167,0.63
8.55333,0.636
8.555,0.636
8.55667,0.626
8.55833,0.626
8.56,0.616
8.56167,0.617
8.56333,0.612
8.565,0.624
8.56667,0.629
8.56833,0.644
8.57,0.649
8.57167,0.654
8.57333,0.65
8.575,0.64
8.57667,0.631
8.57833,0.631
8.58,0.626
8.58167,0.631
8.58333,0.642
8.585,0.647
8.58667,0.647
8.58833,0.647
8.59,0.642
8.59167,0.642
8.59333,0.633
8.595,0.633
8.59667,0.633
8.59833,0.648
8.6,0.657
8.60167,0.657
8.60333,0.657
8.605,0.657
8.60667,0.651
8.60833,0.646
8.61,0.636
8.61167,0.63
8.61333,0.635
8.615,0.645
8.61667,0.654
8.61833,0.664
8.62,0.664
8.62167,0.659
8.62333,0.654
8.625,0.644
8.62667,0.639
8.62833,0.639
8.63,0.639
8.63167,0.643
8.63333,0.653
8.635,0.659
8.63667,0.66
8.63833,0.655
8.64,0.645
8.64167,0.64
8.64333,0.64
8.645,0.64
8.64667,0.645
8.64833,0.66
8.65,0.665
8.65167,0.665
8.65333,0.665
8.655,0.659
8.65667,0.654
8.65833,0.649
8.66,0.644
8.66167,0.644
8.66333,0.655
8.665,0.665
8.66667,0.67
8.66833,0.666
8.67,0.661
8.67167,0.656
8.67333,0.655
8.675,0.65
8.67667,0.65
8.67833,0.655
