ChromatogramRI,
X:,Y:
6.95667,-0.342
6.95833,-0.347
6.96,-0.344
6.96167,-0.34
6.96333,-0.335
6.965,-0.335
6.96667,-0.335
6.96833,-0.34
6.97,-0.346
6.97167,-0.358
6.97333,-0.364
6.975,-0.359
6.97667,-0.353
6.97833,-0.344
6.98,-0.334
6.98167,-0.334
6.98333,-0.338
6.985,-0.344
6.98667,-0.349
6.98833,-0.354
6.99,-0.365
6.99167,-0.364
6.99333,-0.36
6.995,-0.348
6.99667,-0.342
6.99833,-0.337
7,-0.341
7.00167,-0.351
7.00333,-0.357
7.005,-0.372
7.00667,-0.372
7.00833,-0.372
7.01,-0.362
7.01167,-0.362
7.01333,-0.362
7.015,-0.366
7.01667,-0.37
7.01833,-0.374
7.02,-0.384
7.02167,-0.387
7.02333,-0.386
7.025,-0.38
7.02667,-0.369
7.02833,-0.364
7.03,-0.364
7.03167,-0.369
7.03333,-0.375
7.035,-0.381
7.03667,-0.391
7.03833,-0.401
7.04,-0.401
7.04167,-0.39
7.04333,-0.385
7.045,-0.38
7.04667,-0.38
7.04833,-0.38
7.05,-0.385
7.05167,-0.385
7.05333,-0.394
7.055,-0.399
7.05667,-0.398
7.05833,-0.392
7.06,-0.387
7.06167,-0.386
7.06333,-0.386
7.065,-0.381
7.06667,-0.386
7.06833,-0.392
7.07,-0.397
7.07167,-0.402
7.07333,-0.396
7.075,-0.382
7.07667,-0.378
7.07833,-0.379
7.08,-0.385
7.08167,-0.389
7.08333,-0.399
7.085,-0.404
7.08667,-0.409
7.08833,-0.415
7.09,-0.4
7.09167,-0.396
7.09333,-0.387
7.095,-0.387
7.09667,-0.392
7.09833,-0.397
7.1,-0.407
7.10167,-0.417
7.10333,-0.422
7.105,-0.417
7.10667,-0.406
7.10833,-0.402
7.11,-0.398
7.11167,-0.398
7.11333,-0.403
7.115,-0.413
7.11667,-0.423
7.11833,-0.424
7.12,-0.43
7.12167,-0.424
7.12333,-0.414
7.125,-0.41
7.12667,-0.409
7.12833,-0.409
7.13,-0.413
7.13167,-0.417
7.13333,-0.421
7.135,-0.427
7.13667,-0.427
7.13833,-0.416
