Name,SMILES_List,Ratio_List,Biodegradability
R_187,"['C(=O)CCC(=O)', 'OC(C)COC(C)COC(C)CO']","[1, 1]",1
R_189,"['C(=O)CCCCCCCC(=O)', 'OCC(C)OCC(C)O']","[1, 1]",1
R_190,"['C(=O)CCCCCCCCC(=O)', 'OCC(C)OCC(C)O']","[1, 1]",1
R_191,"['C(=O)C(CC1)CCC1C(=O)', 'OCC(C)OCC(C)O']","[1, 1]",1
R_193,"['C(=O)CCCC(=O)', 'OCC(C)OCC(C)O']","[1, 1]",1
R_194,"['C(=O)CSCC(=O)', 'OCC(C)OCC(C)O']","[1, 1]",1
R_199,"['C(=O)CCCCC(=O)', 'OCC(C)OCC(C)O']","[1, 1]",1
R_2,"['C(=O)c(ccc1)cc1C(=O)', 'OCC(CC)(CC)CO']","[1, 1]",0
R_21,"['C(=O)CCCC(=O)', 'OC(CC1)CCC1O']","[1, 1]",0
R_211,"['C(=O)CCCCCCCC(=O)', 'OCC(COc1ccccc1OC)O']","[1, 1]",1
R_212,"['C(=O)CCCCCCCCC(=O)', 'OCC(COc1ccccc1OC)O']","[1, 1]",1
R_213,"['C(=O)C(CC1)CCC1C(=O)', 'OCC(COc1ccccc1OC)O']","[1, 1]",1
R_214,"['C(=O)CCCC(=O)', 'OCC(COc1ccccc1OC)O']","[1, 1]",1
R_215,"['C(=O)CSCC(=O)', 'OCC(COc1ccccc1OC)O']","[1, 1]",1
R_216,"['C(=O)COCCOCC(=O)', 'OCC(COc1ccccc1OC)O']","[1, 1]",1
R_219,"['C(=O)CCCCC(=O)', 'OCC(COc1ccccc1OC)O']","[1, 1]",1
R_220,"['C(=O)CCC(=O)', 'OCC(COc1ccccc1OC)O']","[1, 1]",1
R_24,"['C(=O)CSCC(=O)', 'OC(CC1)CCC1O']","[1, 1]",1
R_25,"['C(=O)CCCCCCCC(=O)', 'OC(CC1)CCC1O']","[1, 1]",0
R_26,"['C(=O)CCCCCCCCC(=O)', 'OC(CC1)CCC1O']","[1, 1]",1
R_29,"['C(=O)CCCC(=O)', 'OCC(CC)(CC)CO']","[1, 1]",0
R_31,"['C(=O)CSCC(=O)', 'OCC(CC)(CC)CO']","[1, 1]",0
R_32,"['C(=O)CCCCCCCCC(=O)', 'OCC(CC)(CC)CO']","[1, 1]",0
R_33,"['C(=O)C(CC1)CCC1C(=O)', 'OCC(CC)(CC)CO']","[1, 1]",1
R_4,"['C(=O)c(ccc1)cc1C(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",0
R_49,"['C(=O)COCCOCC(=O)', 'OCC(C)CO']","[1, 1]",1
R_5,"['C(=O)c(ccc1)cc1C(=O)', 'OCC(C)(C)C(C(C)C)O']","[1, 1]",0
R_50,"['C(=O)COCCOCC(=O)', 'OCCC(C)CCO']","[1, 1]",1
R_51,"['C(=O)COCCOCC(=O)', 'OC(CC1)CCC1O']","[1, 1]",1
R_52,"['C(=O)COCCOCC(=O)', 'OCC(CC)(CC)CO']","[1, 1]",1
R_54,"['C(=O)C(CC1)CCC1C(=O)', 'OC(C)C(C)O']","[1, 1]",0
R_56,"['C(=O)COCC(=O)', 'OC(C)C(C)O']","[1, 1]",1
R_57,"['C(=O)CCCC(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",0
R_59,"['C(=O)CCCCCCCC(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",0
R_6,"['C(=O)c(ccc1)cc1C(=O)', 'OCC(C)(C)CO']","[1, 1]",0
R_60,"['C(=O)CCCCCCCCC(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",0
R_61,"['C(=O)COCCOCC(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",1
R_63,"['C(=O)CSCC(=O)', 'OCC(C)(C)CO']","[1, 1]",1
R_64,"['C(=O)COCCOCC(=O)', 'OCC(C)(C)CO']","[1, 1]",1
R_67,"['C(=O)CSCC(=O)', 'OCCCO']","[1, 1]",1
R_68,"['C(=O)C(CC1)CCC1C(=O)', 'OCCCO']","[1, 1]",1
R_69,"['C(=O)CCCCCCCCC(=O)', 'OCCC(C)CCO']","[1, 1]",0
R_7,"['C(=O)c(ccc1)cc1C(=O)', 'OCC(CC1)CCC1CO']","[1, 1]",0
R_70,"['C(=O)CCCCCCCC(=O)', 'OCC(CC)(CC)CO']","[1, 1]",0
R_72,"['C(=O)CCCCCCCC(=O)', 'OC(C)C(C)O']","[1, 1]",1
R_73,"['C(=O)CCCCCCCCC(=O)', 'OC(C)C(C)O']","[1, 1]",1
R_75,"['C(=O)CCCC(=O)', 'OCC(C)O']","[1, 1]",0
R_77,"['C(=O)CSCC(=O)', 'OCC(C)O']","[1, 1]",1
R_78,"['C(=O)CCCCCCCC(=O)', 'OCC(C)O']","[1, 1]",1
R_79,"['C(=O)CCCCCCCCC(=O)', 'OCC(C)O']","[1, 1]",0
R_80,"['C(=O)CCCCCCCCC(=O)', 'OCCO']","[1, 1]",0
R_83,"['C(=O)CCCC(=O)', 'OCC(C)(C)CO']","[1, 1]",0
R_85,"['C(=O)CCCCCCCC(=O)', 'OCC(C)(C)CO']","[1, 1]",0
R_86,"['C(=O)CCCCCCCCC(=O)', 'OCC(C)(C)CO']","[1, 1]",0
R_87,"['C(=O)CCCCCCCCC(=O)', 'OCCCO']","[1, 1]",0
R_88,"['C(=O)COCCOCC(=O)', 'OCCCO']","[1, 1]",1
R_91,"['C(=O)C(CC1)CCC1C(=O)', 'OCC(C)O']","[1, 1]",1
R_97,"['C(=O)CCCC(=O)', 'OCC(C)(C)C(C(C)C)O']","[1, 1]",0
R_98,"['C(=O)CSCC(=O)', 'OCC(C)(C)C(C(C)C)O']","[1, 1]",1
R_99,"['C(=O)COCCOCC(=O)', 'OCC(C)(C)C(C(C)C)O']","[1, 1]",1
