Number of Estimators,Max Depth,Min Samples Split,Min Samples Leaf,Max Leaf Nodes,Mean Cross Val Score,STD,Test Evaluation Score
4,256,2,1,512,0.7664102564102564,0.025491873890536542,0.8461538461538461
8,32,2,1,4,0.786923076923077,0.11870756447911308,0.8461538461538461
16,16,2,1,64,0.7511538461538461,0.06336550620586755,0.8717948717948718
4,8,2,1,64,0.7155128205128205,0.05546468571033956,0.8974358974358975
8,256,2,1,8,0.7816666666666665,0.08530372698929571,0.8717948717948718
8,1,2,1,2,0.6852564102564103,0.1019017071614576,0.8717948717948718
4,32,2,1,512,0.736153846153846,0.06855510747815384,0.8717948717948718
8,4,2,1,64,0.7715384615384615,0.07113316862869562,0.9230769230769231
16,2,2,1,512,0.8017948717948717,0.066683183358331,0.9230769230769231
4,8,2,1,128,0.7717948717948719,0.05401225906090752,0.8205128205128205
8,32,2,1,8,0.7716666666666667,0.07571096288768667,0.9230769230769231
4,64,2,1,2,0.6593589743589744,0.10773778038744784,0.8461538461538461
8,1,2,1,4,0.7510256410256411,0.0819807389062259,0.8461538461538461
4,64,2,1,4,0.8017948717948717,0.07051678310544078,0.9230769230769231
8,4,2,1,128,0.7869230769230768,0.07704328214795149,0.9487179487179487
8,256,2,1,16,0.787051282051282,0.06446614837768361,0.8974358974358975
8,1,2,1,8,0.7262820512820513,0.11340466487082514,0.8717948717948718
4,64,2,1,8,0.787051282051282,0.05571305747466695,0.8717948717948718
8,32,2,1,16,0.7666666666666666,0.06403714610696912,0.8974358974358975
16,4,2,1,2,0.7561538461538462,0.1052505541954454,0.9487179487179487
8,1,2,1,16,0.6752564102564103,0.09271597740132621,0.8461538461538461
8,4,2,1,256,0.7766666666666667,0.05651010975861723,0.8974358974358975
4,64,2,1,16,0.7611538461538461,0.08379713143863488,0.9487179487179487
16,16,2,1,128,0.7717948717948717,0.05214655925696887,0.8974358974358975
8,256,2,1,32,0.7767948717948718,0.04226571343943431,0.8974358974358975
8,1,2,1,32,0.7765384615384615,0.11746668502486048,0.8461538461538461
4,64,2,1,32,0.7716666666666667,0.047245633675300304,0.8717948717948718
8,32,2,1,32,0.7612820512820513,0.06757954866499649,0.9487179487179487
8,4,2,1,512,0.7664102564102564,0.0407776962667156,0.8974358974358975
16,128,2,1,64,0.7562820512820514,0.025998786195305202,0.9230769230769231
8,1,2,1,64,0.751025641025641,0.09109747977758631,0.8461538461538461
16,4,2,1,4,0.7765384615384614,0.0770166098020702,0.9487179487179487
4,64,2,1,64,0.7408974358974358,0.07189599106050344,0.8717948717948718
8,8,2,1,2,0.7814102564102564,0.1129835651590762,0.8205128205128205
8,256,2,1,64,0.7666666666666666,0.09115105120313867,0.9230769230769231
8,1,2,1,128,0.7564102564102564,0.13301490576060868,0.7948717948717948
8,32,2,1,64,0.7565384615384614,0.07226994832319819,0.9487179487179487
4,64,2,1,128,0.7361538461538462,0.064605208803952,0.8461538461538461
8,1,2,1,256,0.6956410256410257,0.11372481406154654,0.8717948717948718
8,8,2,1,4,0.7766666666666666,0.06597346706324071,0.9230769230769231
16,16,2,1,256,0.7412820512820513,0.08143256306549716,0.9230769230769231
4,64,2,1,256,0.7357692307692307,0.032231289390576574,0.8974358974358975
16,4,2,1,8,0.8021794871794871,0.07696537298716388,0.9743589743589743
8,1,2,1,512,0.7511538461538462,0.09741261530205855,0.8205128205128205
8,256,2,1,128,0.7917948717948717,0.0654855932181434,0.8205128205128205
8,32,2,1,128,0.7511538461538463,0.06968559051419664,0.9487179487179487
16,128,2,1,128,0.7819230769230769,0.05353450717295482,0.9230769230769231
8,8,2,1,8,0.7867948717948717,0.09606457394307179,0.9230769230769231
8,256,2,1,256,0.7767948717948718,0.04862406608626371,0.9487179487179487
8,8,2,1,16,0.7716666666666667,0.044375274906316646,0.8974358974358975
16,4,2,1,16,0.7510256410256411,0.07068812706777404,0.9230769230769231
8,32,2,1,256,0.7357692307692307,0.06637559733143297,0.9487179487179487
16,16,2,1,512,0.7769230769230768,0.04766748733793745,0.8974358974358975
32,2,2,1,128,0.7816666666666666,0.08759478758070226,0.9487179487179487
8,256,2,1,512,0.7865384615384615,0.06558040068980296,0.8205128205128205
8,8,2,1,32,0.7717948717948717,0.07086044845905605,0.8974358974358975
8,32,2,1,512,0.7612820512820513,0.05221207953317099,0.8974358974358975
16,128,2,1,256,0.787051282051282,0.07693418723183477,0.9487179487179487
16,4,2,1,32,0.7766666666666666,0.0812557589118735,0.9230769230769231
16,32,2,1,2,0.7407692307692307,0.09419160183728294,0.8974358974358975
8,64,2,1,2,0.7411538461538462,0.08314021014565558,0.8717948717948718
16,1,2,1,2,0.741153846153846,0.05774413626375244,0.9230769230769231
8,8,2,1,64,0.7717948717948718,0.07386662821579898,0.9230769230769231
8,64,2,1,4,0.7917948717948717,0.06428486897161903,0.9230769230769231
16,1,2,1,4,0.7765384615384615,0.10885936617584985,0.8205128205128205
32,16,2,1,256,0.7767948717948718,0.05800258444898245,0.8974358974358975
8,8,2,1,128,0.7662820512820513,0.031245249474554575,0.8717948717948718
32,2,2,1,256,0.7819230769230769,0.0746792395726059,0.9487179487179487
