Name,SMILES_List,Ratio_List,Biodegradability
AC_288,"['C(=O)c(ccc1)cc1C(=O)', 'OC(C)(C)C#CC(C)(C)O']","[1, 1]",0
AC_290,"['C(=O)CCCCCCCCC(=O)', 'OC(C)(C)C#CC(C)(C)O']","[1, 1]",0
AC_294,"['C(=O)CCCCC(=O)', 'OCCSCCO']","[1, 1]",1
AC_296,"['C(=O)CCCCC(=O)', 'OC(CS1)SCC1O']","[1, 1]",0
AC_297,"['C(=O)CCCCC(=O)', 'OCC=CCO']","[1, 1]",0
AC_298,"['C(=O)CCCCC(=O)', 'Oc1cccc(c1)O']","[1, 1]",1
AC_299,"['C(=O)CCCCC(=O)', 'Oc(cccc1)c1c2c(cccc2)O']","[1, 1]",0
AC_3,"['C(=O)CC(=O)', 'Oc1ccc(cc1)S(=O)(=O)c2ccc(cc2)O']","[1, 1]",0
AC_30,"['C(=O)CCCCCCCCC(=O)', 'Oc1ccc(cc1)C3(c2ccc(O)cc2)c4ccccc4-c5ccccc35']","[1, 1]",0
AC_300,"['C(=O)CCCCC(=O)', 'Oc1c(C)cc(cc1)S(=O)(=O)c2ccc(c(C)c2)O']","[1, 1]",0
AC_301,"['C(=O)CCCCC(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O']","[1, 1]",1
AC_302,"['C(=O)CCCCC(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)C(C)(C)c3ccc(cc3)O']","[1, 1]",0
AC_303,"['C(=O)CCCCC(=O)', 'Oc1c(C)cc(cc1(C))C(C)(C)c2cc(C)c(c(C)c2)O']","[1, 1]",0
AC_304,"['C(=O)CCCCC(=O)', 'Oc1ccc(cc1)C(C)(c2ccccc2)c3ccc(cc3)O']","[1, 1]",1
AC_305,"['C(=O)CCCCC(=O)', 'Oc1ccc(cc1)C2(CCCCC2)c3cc(cc3)O']","[1, 1]",1
AC_306,"['C(=O)CCCCC(=O)', 'Oc1ccc(cc1)S(=O)(=O)c2ccc(cc2)O']","[1, 1]",0
AC_307,"['C(=O)CCCCC(=O)', 'OCC#CCO']","[1, 1]",1
AC_308,"['C(=O)CCCCC(=O)', 'Oc1ccc(cc1)Sc2ccc(cc2)O']","[1, 1]",0
AC_31,"['C(=O)CCCCCCCCC(=O)', 'OC(CO1)C2C1C(CO2)O']","[1, 1]",1
AC_32,"['C(=O)CCCCCCCCC(=O)', 'OCC(COc1ccccc1OC)O']","[1, 1]",1
AC_33,"['C(=O)CCCCCCCCC(=O)', 'Oc1ccc(cc1)S(=O)(=O)c2ccc(cc2)O']","[1, 1]",1
AC_36,"['C(=O)c(cc1)ccc1C(=O)', 'OC(C)COC(C)COC(C)CO']","[1, 1]",1
AC_37,"['C(=O)c(cc1)ccc1C(=O)', 'Oc1cccc(c1)O']","[1, 1]",1
AC_38,"['C(=O)c(cc1)ccc1C(=O)', 'Oc1c(ccc2)c(ccc1)c2O']","[1, 1]",1
AC_39,"['C(=O)c(cc1)ccc1C(=O)', 'Oc1cc2c(cc1)ccc(c2)O']","[1, 1]",1
AC_40,"['C(=O)c(cc1)ccc1C(=O)', 'OCC#CCO']","[1, 1]",1
AC_41,"['C(=O)c(cc1)ccc1C(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O']","[1, 1]",1
AC_42,"['C(=O)c(cc1)ccc1C(=O)', 'Oc1ccc(cc1)Cc2ccc(cc2)O']","[1, 1]",1
AC_43,"['C(=O)c(cc1)ccc1C(=O)', 'Oc1ccc(cc1)S(=O)(=O)c2ccc(cc2)O']","[1, 1]",0
AC_45,"['C(=O)c(cc1)ccc1C(=O)', 'Oc1ccc(cc1)Sc2ccc(cc2)O']","[1, 1]",0
AC_46,"['C(=O)c(cc1)ccc1C(=O)', 'OCC(COc1ccccc1OC)O']","[1, 1]",1
AC_47,"['C(=O)c(cc1)ccc1C(=O)', 'OCCSCCO']","[1, 1]",0
AC_48,"['C(=O)c(cc1)ccc1C(=O)', 'OC(CS1)SCC1O']","[1, 1]",0
AC_49,"['C(=O)c(cc1)ccc1C(=O)', 'OC(CO1)C2C1C(CO2)O']","[1, 1]",0
AC_5,"['C(=O)CC(=O)', 'Oc1ccc(cc1)Sc2ccc(cc2)O']","[1, 1]",0
