Polymer_Name_P,Mn,Mw,D,THF Soluble,Ordering,Crystalline,Storage Location (Box#_CR),Synthesis_Set,Notes on State,Biodeg Run,Biodegradable,Degradation Type,Biodeg_data_Date,Ratio 1,Ratio 2,Ratio 3
ADA50_HND25_NND25_P,,,,,158,Y,T2_F7,18,"solid (waxy, opaque)",Y,N,NA,20231115,2,1,1
TOA50_HND25_BED25_P,,,,,159,NA,T2_F8,18,viscous,Y,Y,Clear Zone,20231115,2,1,1
GLA50_HND25_OTD25_P,,,,,160,Y,T2_F9,18,"solid (waxy, opaque)",Y,Y,Distributed,20231115,2,1,1
TOA50_HND25_DCD25_P,,,,,161,N,T2_G1,18,"solid (elastic, opaque)",Y,Y,Clear Zone,20231115,2,1,1
GLA50_HND25_GGE25_P,,,,,162,Y,T2_G2,18,"solid (waxy, opaque)",Y,N,No Growth,20231209,2,1,1
SCA50_TPG25_BPA25_P,,,,,163,NA,Revisions_30,,,Y,N,No Growth,Revisions,2,1,1
EBA50_TPG25_MPD25_P,,,,,164,NA,T2_G4,18,viscous,Y,Y,Clear Zone,20231115,2,0.9,1.1
SUA50_TPG25_OTD25_P,,,,,165,Y,T2_G5,18,,Y,Y,Clear Zone,20231115,2,0.7,1.3
SCA25_TOA25_TPG50_P,,,,,166,NA,T2_G10,19,,Y,Y,Clear Zone,20231115,0.7,1.3,2
TOA50_TPG25_CHM25_P,,,,,167,NA,T2_G6,19,,Y,Y,Clear Zone,20231115,2,1.6,0.4
CCD50_TPG25_BPA25_P,,,,,168,Y,T2_G7,19,,Y,N,Hydrolysis,20231115,2,0.3,1.7
AZA50_TPG25_DCD25_P,,,,,169,Y,T2_G8,19,,Y,Y,Distributed,20231115,2,0.8,1.2
TOA25_SBA25_TPG50_P,,,,,170,NA,T2_G9,19,,Y,Y,Clear Zone,20231115,0.6,1.4,2
SCA25_SBA25_TPG50_P,,,,,171,NA,T2_H1,19,,Y,Y,Clear Zone,20231115,1,1,2
ADA25_SUA25_TPG50_P,,,,,172,NA,T2_H2,19,,Y,Y,Clear Zone,20231115,1,1,2
SUA50_CHM25_TEG25_P,,,,,173,N,T2_H3,19,,Y,Y,Clear Zone,20231115,2,1.2,0.8
ADA50_CHM25_CHD25_P,,,,,174,Y,T2_H4,19,,Y,Y,Distributed,20231115,2,1,1
EBA50_CHM25_BED25_P,,,,,175,N,T2_H5,19,,Y,Y,Clear Zone,20231115,2,1,1
SUA50_CHM25_BPA25_P,,,,,176,N,T2_H6,19,,Y,N,No Growth,20231115,2,1.4,0.6
ADA25_AZA25_CHM50_P,,,,,177,N,T2_H10,20,,Y,Y,Distributed,20231115,1.1,0.9,2
TOA50_CHM25_CHD25_P,,,,,178,N,T2_H7,20,,Y,Y,Clear Zone,20231115,2,1,1
SBA50_CHM25_CHD25_P,,,,,179,Y,T2_H8,20,,Y,Y,Distributed,20231115,2,1.1,0.9
SBA50_CHM25_MPD25_P,,,,,180,Y,T2_H9,20,,Y,Y,Distributed,20231115,2,1.1,0.9
SCA25_DGA25_CHM50_P,,,,,181,N,T2_I1,20,,Y,Y,Clear Zone,20231115,1,1,2
GLA25_AZA25_CHM50_P,,,,,182,N,T2_I2,20,,Y,Y,Distributed,20231115,1,1,2
SUA25_EBA25_CHM50_P,,,,,183,N,T2_I3,20,,Y,Y,Distributed,20231115,1.1,0.9,2
TOA25_AZA25_TEG50_P,,,,,184,NA,T2_I4,20,,Y,Y,Clear Zone,20231115,1,1,2
DGA25_TOA25_TEG50_P,,,,,185,N,T2_I5,20,,Y,Y,Clear Zone,20231115,1,1,2
CCD25_SBA25_TEG50_P,,,,,186,NA,T2_I6,20,,Y,Y,Distributed,20231115,0.7,1.3,2
SBA50_MPD25_OTD25_P,,,,,187,NA,T2_I7,20,,Y,Y,Distributed,20231115,2,1,1
TOA50_MPD25_BPA25_P,,,,,188,N,T2_I10,21,,Y,Y,Color Interference,20231115,2,1.3,0.7
SCA50_MPD25_CHD25_P,,,,,189,N,T2_I8,21,,Y,Y,Clear Zone,20231115,2,1.1,0.9
AZA50_MPD25_OTD25_P,,,,,190,N,T2_I9,21,,Y,Y,Distributed,20231115,2,1,1
ADA50_MPD25_CHD25_P,,,,,191,NA,T2_J1,21,,Y,Y,Clear Zone,20231115,2,1.6,0.4
DGA25_TOA25_MPD50_P,,,,,192,N,T2_J2,21,,Y,Y,Clear Zone,20231115,1,1,2
GLA25_SBA25_MPD50_P,,,,,193,NA,T2_J3,21,,Y,Y,Distributed,20231115,2,1,1
ADA25_SUA25_MPD50_P,,,,,194,NA,T2_J4,21,,Y,Y,Distributed,20231115,1,1,2
DGA50_NND25_CHD25_P,,,,,195,N,T2_J5,21,,Y,Y,Clear Zone,20231115,2,1.1,0.9
TOA50_NND25_CHD25_P,,,,,196,N,T2_J6,21,,Y,Y,Clear Zone,20231115,2,1.1,0.9
TOA25_AZA25_NND50_P,,,,,197,N,T2_J7,21,,Y,Y,Distributed,20231115,1,1,2
SUA25_AZA25_NND50_P,,,,,198,Y,T2_J8,21,,Y,Y,Distributed,20231209,1.5,0.5,2
TOA25_SBA25_NND50_P,,,,,199,N,T2_J10,22,,Y,Y,Distributed,20231209,1,1,2
SBA50_BED25_CHD25_P,,,,,200,N,T2_J9,22,,Y,Y,Distributed,20231209,2,1.1,0.9
AZA50_BED25_CHD25_P,,,,,201,NA,T3_A1,22,,Y,Y,Distributed,20231209,2,1,1
TOA50_BED25_BPA25_P,,,,,202,N,T3_A2,22,,Y,Y,Color Interference,20231209,2,1.1,0.9
CCD50_BED25_OTD25_P,,,,,203,N,T3_A3,22,,Y,Y,Distributed,20231209,2,1,1
TOA25_SBA25_BED50_P,,,,,204,N,T3_A4,22,,Y,Y,Distributed,20231209,1,1,2
GLA25_AZA25_BED50_P,,,,,205,NA,T3_A5,22,,Y,Y,Distributed,20231209,1,1,2
